"","Tmix","Trasch","Tnorv","PhyC","Zsurf","Zdeep"
"1",0.0605524765353767,0.888264396058881,1.95075803160662,11.8411594677333,9.33404424045724,157.107322506761
"2",0.0477329621677767,0.884060885524458,1.94675496928421,11.6318800582428,9.37995110948001,156.823377339922
"3",0.0349134478001768,0.879857374990035,1.94275190696181,11.4226006487524,9.42585797850278,156.539432173083
"4",0.0220939334325768,0.875653864455612,1.9387488446394,11.2133212392619,9.47176484752555,156.255487006245
"5",0.00927441906497684,0.871450353921189,1.93474578231699,11.0040418297714,9.51767171654832,155.971541839406
"6",-0.00354509530262309,0.867246843386765,1.93074271999459,10.7947624202809,9.56357858557109,155.687596672567
"7",-0.016364609670223,0.863043332852342,1.92673965767218,10.5854830107905,9.60948545459386,155.403651505728
"8",-0.029184124037823,0.858839822317919,1.92273659534978,10.3762036013,9.65539232361663,155.119706338889
"9",-0.0420036384054229,0.854636311783496,1.91873353302737,10.1669241918095,9.70129919263941,154.83576117205
"10",-0.0548231527730229,0.850432801249073,1.91473047070496,9.95764478231905,9.74720606166218,154.551816005212
"11",-0.0676426671406228,0.84622929071465,1.91072740838256,9.74836537282858,9.79311293068495,154.267870838373
"12",-0.0804621815082229,0.842025780180227,1.90672434606015,9.53908596333811,9.83901979970772,153.983925671534
"13",-0.0932816958758228,0.837822269645804,1.90272128373774,9.32980655384764,9.88492666873049,153.699980504695
"14",-0.106101210243423,0.833618759111381,1.89871822141534,9.12052714435716,9.93083353775326,153.416035337856
"15",-0.118920724611023,0.829415248576957,1.89471515909293,8.91124773486669,9.97674040677603,153.132090171017
"16",-0.131740238978623,0.825211738042534,1.89071209677053,8.70196832537622,10.0226472757988,152.848145004178
"17",-0.144559753346223,0.821008227508111,1.88670903444812,8.49268891588575,10.0685541448216,152.56419983734
"18",-0.157379267713823,0.816804716973688,1.88270597212571,8.28340950639527,10.1144610138443,152.280254670501
"19",-0.170198782081422,0.812601206439265,1.87870290980331,8.0741300969048,10.1603678828671,151.996309503662
"20",-0.183018296449023,0.808397695904842,1.8746998474809,7.86485068741433,10.2062747518899,151.712364336823
"21",-0.195837810816622,0.804194185370419,1.8706967851585,7.65557127792385,10.2521816209127,151.428419169984
"22",-0.208657325184222,0.799990674835995,1.86669372283609,7.44629186843338,10.2980884899354,151.144474003145
"23",-0.221476839551822,0.795787164301572,1.86269066051368,7.23701245894291,10.3439953589582,150.860528836307
"24",-0.234296353919422,0.791583653767149,1.85868759819128,7.02773304945243,10.389902227981,150.576583669468
"25",-0.247115868287022,0.787380143232726,1.85468453586887,6.81845363996196,10.4358090970037,150.292638502629
"26",-0.259935382654622,0.783176632698303,1.85068147354646,6.60917423047149,10.4817159660265,150.00869333579
"27",-0.272754897022222,0.77897312216388,1.84667841122406,6.39989482098102,10.5276228350493,149.724748168951
"28",-0.285574411389822,0.774769611629457,1.84267534890165,6.19061541149054,10.573529704072,149.440803002112
"29",-0.298393925757422,0.770566101095034,1.83867228657925,5.98133600200007,10.6194365730948,149.156857835273
"30",-0.311213440125022,0.76636259056061,1.83466922425684,5.7720565925096,10.6653434421176,148.872912668435
"31",-0.324032954492622,0.762159080026187,1.83066616193443,5.56277718301913,10.7112503111404,148.588967501596
"32",-0.336852468860222,0.757955569491764,1.82666309961203,5.35349777352865,10.7571571801631,148.305022334757
"33",-0.349671983227822,0.753752058957341,1.82266003728962,5.14421836403818,10.8030640491859,148.021077167918
"34",-0.362491497595422,0.749548548422918,1.81865697496722,4.93493895454771,10.8489709182087,147.737132001079
"35",-0.375311011963022,0.745345037888495,1.81465391264481,4.72565954505724,10.8948777872314,147.45318683424
"36",-0.388130526330622,0.741141527354072,1.8106508503224,4.51638013556676,10.9407846562542,147.169241667402
"37",-0.400950040698222,0.736938016819648,1.806647788,4.30710072607629,10.986691525277,146.885296500563
"38",-0.413769555065822,0.732734506285225,1.80264472567759,4.09782131658582,11.0325983942998,146.601351333724
"39",-0.426589069433422,0.728530995750802,1.79864166335518,3.88854190709534,11.0785052633225,146.317406166885
"40",-0.439408583801022,0.724327485216379,1.79463860103278,3.67926249760487,11.1244121323453,146.033461000046
"41",-0.452228098168622,0.720123974681956,1.79063553871037,3.4699830881144,11.1703190013681,145.749515833207
"42",-0.457451214607767,0.716922461979474,1.78786072706957,3.45419821477236,11.2333258364427,145.426132476513
"43",-0.459931187350528,0.714082781827415,1.78552945039713,3.50828636837279,11.3025076592582,145.088507551259
"44",-0.462411160093288,0.711243101675355,1.78319817372469,3.56237452197322,11.3716894820737,144.750882626006
"45",-0.464891132836049,0.708403421523296,1.78086689705224,3.61646267557365,11.4408713048893,144.413257700753
"46",-0.46737110557881,0.705563741371237,1.7785356203798,3.67055082917408,11.5100531277048,144.075632775499
"47",-0.46985107832157,0.702724061219178,1.77620434370736,3.72463898277451,11.5792349505204,143.738007850246
"48",-0.472331051064331,0.699884381067119,1.77387306703491,3.77872713637494,11.6484167733359,143.400382924993
"49",-0.474811023807091,0.697044700915059,1.77154179036247,3.83281528997537,11.7175985961514,143.062757999739
"50",-0.477290996549852,0.694205020763,1.76921051369003,3.8869034435758,11.786780418967,142.725133074486
"51",-0.479770969292612,0.691365340610941,1.76687923701758,3.94099159717623,11.8559622417825,142.387508149232
"52",-0.482250942035373,0.688525660458882,1.76454796034514,3.99507975077666,11.9251440645981,142.049883223979
"53",-0.484730914778133,0.685685980306823,1.7622166836727,4.04916790437709,11.9943258874136,141.712258298726
"54",-0.487210887520894,0.682846300154763,1.75988540700025,4.10325605797752,12.0635077102291,141.374633373472
